VIS: Vanguard Industrial ETF
Inception Date: 2004-09-23
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	3543397
Shares Outstanding: 25580000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Industrials 25/50 Index
ETFdb.com Category: Industrials Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VIS


Holding,Symbol,Weighting
Heartland Express Inc,HTLD,0.0291%
Tutor Perini Corp,TPC,0.028%
Huron Consulting Group Inc,HURN,0.0276%
ArcBest Corp,ARCB,0.0271%
Lydall Inc,LDL,0.027%
Kratos Defense and Security Solutions Inc,KTOS,0.027%
SP Plus Corp,SP,0.0268%
Atkore International Group Inc,ATKR,0.0262%
Quad/Graphics Inc,QUAD,0.0261%
Astronics Corp,ATRO,0.0261%
NCI Building Systems Inc,NCS,0.0251%
Columbus McKinnon Corp,CMCO,0.0247%
CSW Industrials Inc,CSWI,0.0247%
Thermon Group Holdings Inc,THR,0.0246%
Aegion Corp,AEGN,0.0245%
Global Brass and Copper Holdings Inc,BRSS,0.0244%
Echo Global Logistics Inc,ECHO,0.0236%
DXP Enterprises Inc,DXPE,0.0219%
Titan International Inc,TWI,0.0218%
Kforce Inc,KFRC,0.0215%
Kimball International Inc,KBAL,0.0212%
Hyster-Yale Materials Handling Inc,HY,0.0207%
REV Group Inc,REVG,0.0206%
NN Inc,NNBR,0.0206%
RR Donnelley & Sons Co,RRD,0.0205%
Heidrick & Struggles International Inc,HSII,0.0203%
LSC Communications Inc,LKSD,0.0202%
Griffon Corp,GFF,0.0201%
Sunrun Inc,RUN,0.02%
CIRCOR International Inc,CIR,0.0192%
Wesco Aircraft Holdings Inc,WAIR,0.019%
Argan Inc,AGX,0.0189%
Quanex Building Products Corp,NX,0.018%
Ply Gem Holdings Inc,PGEM,0.0177%
Gorman-Rupp Co,GRC,0.0176%
Civeo Corp,CVEO,0.0172%
Ennis Inc,EBF,0.0172%
Engility Holdings Inc,EGL,0.0172%
Insteel Industries Inc,IIIN,0.0169%
MYR Group Inc,MYRG,0.0168%
National Presto Industries Inc,NPK,0.0167%
RPX Corp,RPXC,0.0161%
Veritiv Corp,VRTV,0.0154%
Resources Connection Inc,RECN,0.0153%
Cash Component,CASH,0.0149%
Vicor Corp,VICR,0.0149%
Plug Power Inc,PLUG,0.0148%
InnerWorkings Inc,INWK,0.0147%
NV5 Global Inc,NVEE,0.0143%
VSE Corp,VSEC,0.0143%
Team Inc,TISI,0.0141%
Daseke Inc,DSKE,0.0134%
Forrester Research Inc,FORR,0.0122%
KEYW Holding Corp,KEYW,0.012%
Park Ohio Holdings Corp,PKOH,0.0116%
Mistras Group Inc,MG,0.011%
YRC Worldwide Inc,YRCW,0.0104%
Essendant Inc,ESND,0.01%
Foundation Building Materials Inc,FBM,0.0098%
American Railcar Industries Inc,ARII,0.0098%
Energy Recovery Inc,ERII,0.0097%
GP Strategies Corp,GPX,0.0091%
Armstrong Flooring Inc,AFI,0.0091%
Nexeo Solutions Inc,NXEO,0.009%
Powell Industries Inc,POWL,0.008%
Babcock & Wilcox Enterprises Inc,BW,0.0064%
Rush Enterprises Inc,RUSHB,0.0056%
Blue Bird Corp,BLBD,0.0055%
TPI Composites Inc,TPIC,0.0052%
CECO Environmental Corp,CECE,0.0047%
Genco Shipping & Trading Ltd,GNK,0.0043%
Vivint Solar Inc,VSLR,0.0036%
Roadrunner Transportation Systems Inc,RRTS,0.0034%
