VV: Vanguard Large Cap ETF
Inception Date: 2004-01-27
Fund Holdings as of: 2018-03-23
Total Assets Under Management (in thousands):	11821171
Shares Outstanding: 97437000
Expense Ratio: 0.06%
Tracks This Index: CRSP US Large Cap Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: http://etfdb.com/etf/VV


Holding,Symbol,Weighting
Nasdaq Inc,NDAQ,0.0408%
SL Green Realty Corp,SLG,0.0407%
UDR Inc,UDR,0.0402%
Duke Realty Corp,DRE,0.04%
Alliant Energy Corp,LNT,0.0399%
Juniper Networks Inc,JNPR,0.0398%
Liberty Broadband Corp,LBRDK,0.0394%
DaVita Inc,DVA,0.0394%
Alkermes Plc,ALKS,0.0393%
Pinnacle West Capital Corp,PNW,0.0393%
L Brands Inc,LB,0.0392%
Owens Corning,OC,0.0392%
Michael Kors Holdings Ltd,KORS,0.0391%
Fortune Brands Home & Security Inc,FBHS,0.039%
IPG Photonics Corp,IPGP,0.039%
F5 Networks Inc,FFIV,0.0389%
Alleghany Corp,Y,0.0388%
CDK Global Inc,CDK,0.0388%
Trimble Inc,TRMB,0.0385%
Western Union Co,WU,0.0384%
Hormel Foods Corp,HRL,0.0384%
Avery Dennison Corp,AVY,0.0382%
Torchmark Corp,TMK,0.0381%
Federal Realty Investment Trust,FRT,0.0379%
Interpublic Group of Companies Inc,IPG,0.0378%
Cimarex Energy Co,XEC,0.0377%
Voya Financial Inc,VOYA,0.0377%
Marvell Technology Group Ltd,MRVL,0.0376%
Gap Inc,GPS,0.0376%
Regency Centers Corp,REG,0.0376%
CF Industries Holdings Inc,CF,0.0373%
Campbell Soup Co,CPB,0.037%
VMware Inc,VMW,0.037%
Sensata Technologies Holding NV,ST,0.0369%
Mosaic Co,MOS,0.0368%
Macy's Inc,M,0.0367%
Iron Mountain Inc,IRM,0.0364%
Coty Inc,COTY,0.0359%
Jacobs Engineering Group Inc,JEC,0.0356%
Jazz Pharmaceuticals PLC,JAZZ,0.0349%
Lululemon Athletica Inc,LULU,0.0348%
Macerich Co,MAC,0.0347%
Nektar Therapeutics,NKTR,0.0347%
Lamb Weston Holdings Inc,LW,0.0346%
News Corp,NWSA,0.0346%
DISH Network Corp,DISH,0.0346%
Snap-On Inc,SNA,0.0345%
FactSet Research Systems Inc,FDS,0.0343%
NiSource Inc,NI,0.0342%
Jones Lang LaSalle Inc,JLL,0.0339%
ManpowerGroup Inc,MAN,0.0338%
Advance Auto Parts Inc,AAP,0.0336%
Alaska Air Group Inc,ALK,0.0333%
Fluor Corp,FLR,0.0332%
Camden Property Trust,CPT,0.0328%
PulteGroup Inc,PHM,0.0328%
First Data Corp,FDC,0.0323%
Athene Holding Ltd,ATH,0.0322%
AGNC Investment Corp,AGNC,0.0321%
Snap Inc,SNAP,0.032%
Tractor Supply Co,TSCO,0.032%
Zayo Group Holdings Inc,ZAYO,0.0318%
Xerox Corp,XRX,0.031%
AES Corp,AES,0.031%
WABCO Holdings Inc,WBC,0.0308%
Harley-Davidson Inc,HOG,0.0307%
Sealed Air Corp,SEE,0.0305%
Sirius XM Holdings Inc,SIRI,0.0305%
Polaris Industries Inc,PII,0.0304%
Liberty Media Corp,LSXMK,0.0301%
Leucadia National Corp,LUK,0.0294%
Crown Holdings Inc,CCK,0.0293%
Axalta Coating Systems Ltd,AXTA,0.0293%
HanesBrands Inc,HBI,0.0292%
Lazard Ltd,LAZ,0.0291%
Abiomed Inc,ABMD,0.0287%
Westinghouse Air Brake Technologies Corp,WAB,0.0287%
VEREIT Inc,VER,0.0285%
